Country_Name,Regional_Indicator,Year,Log_GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy_At_Birth,Freedom_To_Make_Life_Choices,Perceptions_Of_Corruption
Afghanistan,South Asia,2022,4.406140054,0.228217229,54.875,0.368377149,0.733197868
Albania,Central and Eastern Europe,2022,9.626482964,0.724089622,69.17500305,0.802249789,0.845501959
Algeria,Middle East and North Africa,2022,9.309262276,0.840710282,66.59999847,0.558486938,0.711900055
Argentina,Latin America and Caribbean,2022,10.01140499,0.893329561,67.25,0.825188935,0.810037434
Armenia,Commonwealth of Independent States,2022,9.667765617,0.811169267,67.92500305,0.789598525,0.704730451
Australia,North America and ANZ,2022,10.85352898,0.941673338,71.125,0.853776991,0.545216978
Austria,Western Europe,2022,10.93891716,0.876287401,71.27500153,0.855502605,0.524212122
Bangladesh,South Asia,2022,8.743256569,0.403707534,64.67500305,0.86457628,0.61687237
Belgium,Western Europe,2022,10.87826824,0.922732711,71.05000305,0.889889002,0.48338443
Benin,Sub-Saharan Africa,2022,8.136793137,0.365682811,56.40000153,0.714036763,0.579618931
Bolivia,Latin America and Caribbean,2022,9.014473915,0.823510289,63.75,0.86501044,0.84024471
Bosnia and Herzegovina,Central and Eastern Europe,2022,9.659282684,0.859953582,67.30000305,0.758979201,0.920913935
Botswana,Sub-Saharan Africa,2022,9.629345894,0.750399292,54.72499847,0.739403069,0.830940306
Brazil,Latin America and Caribbean,2022,9.610548019,0.865809739,65.92500305,0.82977134,0.741963506
Bulgaria,Central and Eastern Europe,2022,10.13758183,0.952761054,66.59999847,0.741359413,0.941625774
Burkina Faso,Sub-Saharan Africa,2022,7.686983585,0.6575436,55.65000153,0.64410162,0.736158907
Cambodia,Southeast Asia,2022,8.414617538,0.78360188,62.09999847,0.946244061,0.859684169
Cameroon,Sub-Saharan Africa,2022,8.227441788,0.629108608,56.52500153,0.674506366,0.849325359
Canada,North America and ANZ,2022,10.80336666,0.929101527,71.44999695,0.838263929,0.44200018
Chad,Sub-Saharan Africa,2022,7.261128902,0.719671786,53.125,0.679479539,0.805424452
Chile,Latin America and Caribbean,2022,10.15356255,0.886761963,70.44999695,0.793485582,0.796396375
China,East Asia,2022,9.775807381,0.85600698,68.75,0.874755502,0
Colombia,Latin America and Caribbean,2022,9.659547806,0.87694943,69.52500153,0.799183786,0.862641215
Comoros,Sub-Saharan Africa,2022,8.074591637,0.471820921,59.42499924,0.480553567,0.732310832
Republic of Congo,Sub-Saharan Africa,2022,8.077151299,0.646345079,57.17499924,0.69769448,0.759754062
Democratic Republic of Congo,Sub-Saharan Africa,2022,7.006671429,0.654081404,55.375,0.664101124,0.835640848
Costa Rica,Latin America and Caribbean,2022,9.997837067,0.901608407,70,0.910026312,0.750560999
Croatia,Central and Eastern Europe,2022,10.4582634,0.90998435,69.125,0.593485951,0.87508148
Cyprus,Western Europe,2022,4.495322277,0.819547474,73,0.698407114,0.887328267
Czechia,Central and Eastern Europe,2022,10.65630722,0.943601012,69.17500305,0.90783453,0.831001461
Denmark,Western Europe,2022,10.99429893,0.970306337,71.375,0.929547489,0.203140497
Dominican Republic,Latin America and Caribbean,2022,9.873703003,0.820422471,64.59999847,0.853301883,0.655976236
Ecuador,Latin America and Caribbean,2022,9.290071487,0.825139701,69.25,0.758587241,0.865789473
Egypt,Middle East and North Africa,2022,9.403931618,0.76921612,63.75,0.73252511,0.580454171
El Salvador,Latin America and Caribbean,2022,9.134880066,0.772380829,65.94999695,0.914063275,0.621097445
Estonia,Central and Eastern Europe,2022,10.57135296,0.933332503,69.875,0.903950691,0.39030093
Ethiopia,Sub-Saharan Africa,2022,7.757498741,0.740167618,61.09999847,0.67365855,0.793105245
Finland,Western Europe,2022,10.81419277,0.974395156,71.22499847,0.958609104,0.190206692
France,Western Europe,2022,10.7368784,0.865514636,72.40000153,0.798249364,0.532776713
Gabon,Sub-Saharan Africa,2022,9.539199829,0.775247753,58.57500076,0.69927603,0.802774906
Gambia,Sub-Saharan Africa,2022,7.647816658,0.587696254,57.90000153,0.599087417,0.883752167
Georgia,Commonwealth of Independent States,2022,9.746482849,0.754490972,65.07499695,0.820903182,0.65517211
Germany,Western Europe,2022,10.89852619,0.915808022,71.5,0.895221889,0.41657716
Ghana,Sub-Saharan Africa,2022,8.615270615,0.628161311,59.125,0.786439955,0.908888876
Greece,Western Europe,2022,10.36369228,0.875312984,71.27500153,0.562556148,0.874286056
Guatemala,Latin America and Caribbean,2022,9.115709305,0.806016386,62.90000153,0.856143475,0.835372388
Guinea,Sub-Saharan Africa,2022,7.899697304,0.582017422,54.65000153,0.729232073,0.770350397
Honduras,Latin America and Caribbean,2022,8.644883156,0.728614807,64.27500153,0.851199389,0.834249735
Hong Kong S.A.R. of China,East Asia,2022,11.00173569,0.821088552,85.16,0.6686306,0.389589489
Hungary,Central and Eastern Europe,2022,10.48420715,0.937058866,67.65000153,0.775502026,0.848249376
Iceland,Western Europe,2022,10.935112,0.984801114,72.07499695,0.935669005,0.692434132
India,South Asia,2022,8.849925041,0.608045101,61.20000076,0.893131018,0.770741999
Indonesia,Southeast Asia,2022,9.425395966,0.834076643,63.17499924,0.903250694,0.861708522
Iran,Middle East and North Africa,2022,9.637630463,0.800070286,66.75,0.570203483,0.766079903
Ireland,Western Europe,2022,11.62491417,0.906079292,71.40000153,0.895009518,0.357812256
Israel,Middle East and North Africa,2022,10.69227314,0.95365274,72.84999847,0.774947405,0.654698849
Italy,Western Europe,2022,10.68542004,0.869363606,72.125,0.710519016,0.818708301
Ivory Coast,Sub-Saharan Africa,2022,8.611810684,0.536297083,56.52500153,0.713349819,0.742839873
Jamaica,Latin America and Caribbean,2022,9.198162079,0.868040681,66.59999847,0.874267519,0.909644067
Japan,East Asia,2022,10.6361618,0.898649931,74.47499847,0.788856983,0.643009663
Jordan,Middle East and North Africa,2022,9.13436985,0.774262011,67.59999847,0.759418666,0.714584589
Kazakhstan,Commonwealth of Independent States,2022,10.18687248,0.923373282,66.19999695,0.882937968,0.720168531
Kenya,Sub-Saharan Africa,2022,8.499298096,0.690594971,58.90000153,0.705976129,0.877775729
Kosovo,Central and Eastern Europe,2022,9.415708542,0.887639105,76.85,0.864865899,0.845950305
Kyrgyzstan,Commonwealth of Independent States,2022,8.51677227,0.92697078,67.375,0.948361576,0.876154184
Laos,Southeast Asia,2022,8.96788311,0.649893284,61.09999847,0.927041471,0.668031454
Latvia,Central and Eastern Europe,2022,10.4066782,0.928089976,66.5,0.817082405,0.844229579
Lebanon,Middle East and North Africa,2022,9.428472519,0.534528434,66.22499847,0.449575424,0.882995963
Liberia,Sub-Saharan Africa,2022,7.276751995,0.596891046,56.70000076,0.731640577,0.828494132
Lithuania,Central and Eastern Europe,2022,10.60183716,0.937096536,67.75,0.709662259,0.684991181
Luxembourg,Western Europe,2022,11.6599493,0.877916992,71.67500305,0.915109932,0.345176458
Madagascar,Sub-Saharan Africa,2022,7.29020977,0.642429352,58.04999924,0.523492694,0.740402877
Malawi,Sub-Saharan Africa,2022,7.295767784,0.503325164,58.75,0.743571639,0.754926443
Malaysia,Southeast Asia,2022,10.1785841,0.79405117,65.65000153,0.878362298,0.769417465
Mali,Sub-Saharan Africa,2022,7.645281792,0.641625226,55.79999924,0.817642868,0.745646715
Malta,Western Europe,2022,4.525462216,0.932082772,71.65000153,0.837544084,0.757539809
Mauritania,Sub-Saharan Africa,2022,8.590913773,0.647975624,60.47499847,0.624028981,0.65709281
Mauritius,Sub-Saharan Africa,2022,10.00689125,0.887036204,63.82500076,0.798143804,0.768953621
Mexico,Latin America and Caribbean,2022,9.876176834,0.858360887,65.80000305,0.860889137,0.780077338
Moldova,Commonwealth of Independent States,2022,9.540007591,0.816732645,65.69999695,0.828515828,0.884788811
Mongolia,East Asia,2022,9.388139725,0.951336026,60.59999847,0.717059672,0.846957803
Morocco,Middle East and North Africa,2022,8.995898247,0.563577652,64,0.794705212,0.802137673
Mozambique,Sub-Saharan Africa,2022,7.120275497,0.710699916,51.75,0.884088099,0.687821686
Namibia,Sub-Saharan Africa,2022,9.131615639,0.807958961,57.22499847,0.6825279,0.848729193
Nepal,South Asia,2022,8.28515625,0.753276348,62.125,0.844221771,0.760407746
Netherlands,Western Europe,2022,10.980937,0.928908408,71.625,0.868093491,0.459351808
New Zealand,North America and ANZ,2022,10.68169308,0.955588818,70.42500305,0.830677867,0.280524433
Nicaragua,Latin America and Caribbean,2022,8.664050102,0.844041824,65.72499847,0.913993657,0.570191979
Niger,Sub-Saharan Africa,2022,7.090983391,0.586930454,56.54999924,0.792574704,0.740086973
North Macedonia,Central and Eastern Europe,2022,9.73342514,0.849509358,66.69999695,0.72308898,0.93721509
Norway,Western Europe,2022,11.1112957,0.92657131,71.55000305,0.939022839,0.314442098
Panama,Latin America and Caribbean,2022,10.33345413,0.891045928,69,0.89932853,0.886835337
Paraguay,Latin America and Caribbean,2022,9.508264542,0.89949137,65.94999695,0.921780527,0.839272022
Peru,Latin America and Caribbean,2022,9.448805809,0.822743475,70.02500153,0.764267087,0.88399142
Philippines,Southeast Asia,2022,8.99896431,0.778192103,62.04999924,0.905275464,0.72116226
Poland,Central and Eastern Europe,2022,10.50880241,0.886446774,69.22499847,0.800018609,0.667024732
Portugal,Western Europe,2022,10.48707771,0.862344146,71.375,0.903218091,0.892955482
Romania,Central and Eastern Europe,2022,10.40412903,0.83033675,67.17500305,0.836366534,0.941487908
Russia,Commonwealth of Independent States,2022,10.20286655,0.919851005,65.32499695,0.776063859,0.766522646
Saudi Arabia,Middle East and North Africa,2022,10.78055954,0.900104523,64.59999847,0.902473032,0.44513157
Senegal,Sub-Saharan Africa,2022,8.180175781,0.609188676,60.29999924,0.758471966,0.854231179
Sierra Leone,Sub-Saharan Africa,2022,7.401130676,0.502167702,55.29999924,0.659596384,0.861837387
Slovenia,Central and Eastern Europe,2022,10.64416504,0.941756725,71.22499847,0.930381835,0.762208223
South Africa,Sub-Saharan Africa,2022,9.496415138,0.922238767,57.25,0.703564703,0.891578615
South Korea,East Asia,2022,10.72598648,0.81003511,73.92500305,0.723479927,0.747344434
Spain,Western Europe,2022,10.58749199,0.933899879,72.47499847,0.781408846,0.673111916
Sri Lanka,South Asia,2022,9.502015114,0.812373936,67.19999695,0.771430016,0.848541498
State of Palestine,Eastern Mediterranean,2022,3.578524605,0.859654725,74.4,0.69485271,0.835794926
Sweden,Western Europe,2022,10.91266155,0.949338436,72.27500153,0.939461946,0.213236347
Switzerland,Western Europe,2022,11.18412018,0.880787432,73.09999847,0.848361075,0.234620094
Taiwan,East Asia,2022,4.515290862,0.882819533,79.84,0.800191641,0.657555938
Tajikistan,Commonwealth of Independent States,2022,8.269582748,0.882888913,62.29999924,0.832002461,0.498924732
Tanzania,Sub-Saharan Africa,2022,7.871555328,0.600180984,59.84999847,0.856139898,0.584417045
Thailand,Southeast Asia,2022,9.777226448,0.866995156,68.52500153,0.880613744,0.867953539
Togo,Sub-Saharan Africa,2022,7.685194492,0.57893008,57.70000076,0.695722461,0.713181138
Tunisia,Middle East and North Africa,2022,9.265902519,0.754739821,67.05000305,0.474189252,0.908436537
Turkiye,West Asia,2022,10.35668087,0.736194909,68.75,0.44652763,0.810165942
Uganda,Sub-Saharan Africa,2022,7.717090607,0.793349564,59.15000153,0.710621119,0.835011721
Ukraine,Commonwealth of Independent States,2022,9.049329758,0.863068104,64.67500305,0.829034388,0.851863027
United Arab Emirates,Middle East and North Africa,2022,11.20181751,0.797737062,66.44999695,0.93229568,0.355115891
United Kingdom,Western Europe,2022,10.75374222,0.8634395,70.40000153,0.857062578,0.426054806
United States,North America and ANZ,2022,11.07859612,0.900261819,65.72499847,0.735639811,0.701127529
Uruguay,Latin America and Caribbean,2022,10.08412075,0.904825211,67.5,0.877968609,0.631336689
Uzbekistan,Commonwealth of Independent States,2022,8.989866257,0.878923297,65.59999847,0.959019244,0.615844429
Venezuela,Latin America and Caribbean,2022,3.538969395,0.899366319,63.875,0.770416737,0.798016429
Vietnam,Southeast Asia,2022,9.332854271,0.878744006,65.59999847,0.975405157,0.703422904
Zambia,Sub-Saharan Africa,2022,8.082337379,0.619071007,55.25,0.832573771,0.824030817
Zimbabwe,Sub-Saharan Africa,2022,7.670122623,0.666171908,54.52500153,0.651987135,0.752632082
