Country_Name,Regional_Indicator,Continent,Year,Log_GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy_At_Birth,Freedom_To_Make_Life_Choices,Perceptions_Of_Corruption,Life_Ladder,Generosity
Afghanistan,South Asia,Asia,2022,4.406140054,0.228217229,54.875,0.368377149,0.733197868,1.2812711,0
Albania,Central and Eastern Europe,Europe,2022,9.626482964,0.724089622,69.17500305,0.802249789,0.845501959,5.212213039,-0.065987259
Algeria,Middle East and North Africa,Africa,2022,9.309262276,0.840710282,66.59999847,0.558486938,0.711900055,5.217017651,-0.113483414
Argentina,Latin America and Caribbean,South America,2022,10.01140499,0.893329561,67.25,0.825188935,0.810037434,6.260993481,-0.127506226
Armenia,Commonwealth of Independent States,Asia,2022,9.667765617,0.811169267,67.92500305,0.789598525,0.704730451,5.381942749,-0.154325441
Australia,North America and ANZ,Oceania,2022,10.85352898,0.941673338,71.125,0.853776991,0.545216978,7.034696102,0.15346466
Austria,Western Europe,Europe,2022,10.93891716,0.876287401,71.27500153,0.855502605,0.524212122,6.998997211,0.139042094
Bangladesh,South Asia,Asia,2022,8.743256569,0.403707534,64.67500305,0.86457628,0.61687237,3.407532215,-0.054776076
Belgium,Western Europe,Europe,2022,10.87826824,0.922732711,71.05000305,0.889889002,0.48338443,6.856874466,0.096943997
Benin,Sub-Saharan Africa,Africa,2022,8.136793137,0.365682811,56.40000153,0.714036763,0.579618931,4.217325687,-0.029674673
Bolivia,Latin America and Caribbean,South America,2022,9.014473915,0.823510289,63.75,0.86501044,0.84024471,5.928882122,-0.080244467
Bosnia and Herzegovina,Central and Eastern Europe,Europe,2022,9.659282684,0.859953582,67.30000305,0.758979201,0.920913935,5.748823166,0.277147263
Botswana,Sub-Saharan Africa,Africa,2022,9.629345894,0.750399292,54.72499847,0.739403069,0.830940306,3.435275078,-0.21462056
Brazil,Latin America and Caribbean,South America,2022,9.610548019,0.865809739,65.92500305,0.82977134,0.741963506,6.257079601,-0.060690548
Bulgaria,Central and Eastern Europe,Europe,2022,10.13758183,0.952761054,66.59999847,0.741359413,0.941625774,5.378348827,-0.145212695
Burkina Faso,Sub-Saharan Africa,Africa,2022,7.686983585,0.6575436,55.65000153,0.64410162,0.736158907,4.635508537,0.067367151
Cambodia,Southeast Asia,Asia,2022,8.414617538,0.78360188,62.09999847,0.946244061,0.859684169,4.250280857,0.154094294
Cameroon,Sub-Saharan Africa,Africa,2022,8.227441788,0.629108608,56.52500153,0.674506366,0.849325359,4.712408066,0.025319204
Canada,North America and ANZ,North America,2022,10.80336666,0.929101527,71.44999695,0.838263929,0.44200018,6.917935371,0.221541926
Chad,Sub-Saharan Africa,Africa,2022,7.261128902,0.719671786,53.125,0.679479539,0.805424452,4.396646023,0.221161678
Chile,Latin America and Caribbean,South America,2022,10.15356255,0.886761963,70.44999695,0.793485582,0.796396375,6.415198803,-0.010977617
China,East Asia,Asia,2022,9.775807381,0.85600698,68.75,0.874755502,0,5.862864494,0.022141412
Colombia,Latin America and Caribbean,South America,2022,9.659547806,0.87694943,69.52500153,0.799183786,0.862641215,5.891712189,-0.161807224
Comoros,Sub-Saharan Africa,Africa,2022,8.074591637,0.471820921,59.42499924,0.480553567,0.732310832,3.545203686,-0.014281231
Republic of Congo,Sub-Saharan Africa,Africa,2022,8.077151299,0.646345079,57.17499924,0.69769448,0.759754062,4.920531273,-0.019420257
Democratic Republic of Congo,Sub-Saharan Africa,Africa,2022,7.006671429,0.654081404,55.375,0.664101124,0.835640848,3.207196712,0.085997902
Costa Rica,Latin America and Caribbean,South America,2022,9.997837067,0.901608407,70,0.910026312,0.750560999,7.076658249,-0.047002032
Croatia,Central and Eastern Europe,Europe,2022,10.4582634,0.90998435,69.125,0.593485951,0.87508148,5.578691483,-0.212666839
Cyprus,Western Europe,Europe,2022,4.495322277,0.819547474,73,0.698407114,0.887328267,5.864756584,0
Czechia,Central and Eastern Europe,Europe,2022,10.65630722,0.943601012,69.17500305,0.90783453,0.831001461,6.695077419,0.093917415
Denmark,Western Europe,Europe,2022,10.99429893,0.970306337,71.375,0.929547489,0.203140497,7.54496479,0.224115312
Dominican Republic,Latin America and Caribbean,North America,2022,9.873703003,0.820422471,64.59999847,0.853301883,0.655976236,5.518415928,-0.083819024
Ecuador,Latin America and Caribbean,South America,2022,9.290071487,0.825139701,69.25,0.758587241,0.865789473,5.887132168,-0.079987943
Egypt,Middle East and North Africa,Middle East,2022,9.403931618,0.76921612,63.75,0.73252511,0.580454171,4.023561001,-0.207734495
El Salvador,Latin America and Caribbean,South America,2022,9.134880066,0.772380829,65.94999695,0.914063275,0.621097445,6.492156029,-0.112227663
Estonia,Central and Eastern Europe,Europe,2022,10.57135296,0.933332503,69.875,0.903950691,0.39030093,6.357114315,0.13574183
Ethiopia,Sub-Saharan Africa,Africa,2022,7.757498741,0.740167618,61.09999847,0.67365855,0.793105245,3.628071547,0.361245096
Finland,Western Europe,Europe,2022,10.81419277,0.974395156,71.22499847,0.958609104,0.190206692,7.728998184,0.102147363
France,Western Europe,Europe,2022,10.7368784,0.865514636,72.40000153,0.798249364,0.532776713,6.613806725,-0.024987714
Gabon,Sub-Saharan Africa,Africa,2022,9.539199829,0.775247753,58.57500076,0.69927603,0.802774906,5.139500618,-0.164365619
Gambia,Sub-Saharan Africa,Africa,2022,7.647816658,0.587696254,57.90000153,0.599087417,0.883752167,4.279441357,0.364203513
